Tag	GSM4101749	GSM4101750	GSM4101751	GSM4101752	GSM4101753	GSM4101754	GSM4101755	GSM4101756	GSM4101757	GSM4101758	GSM4101759	GSM4101760	GSM4101761
SNX12	6.82708	7.16706	6.94153	7.39885	6.83547	7.82603	7.25709	7.4285	6.98523	7.25307	7.19545	7.79621	7.31958
SNX13	8.52432	8.35053	8.08594	8.02932	7.83155	8.34913	7.97033	8.15349	7.93429	8.24405	7.8588	8.06306	8.24065
SNX14	7.86622	7.92951	7.73564	7.93704	7.69079	7.60895	7.90704	7.94383	7.57546	8.37143	7.64041	8.0266	8.19379
SNX16	6.43316	5.85251	5.14488	6.21464	5.58557	5.38686	5.86407	6.28319	5.52566	5.17596	5.37475	5.74563	5.8208
SNX17	8.53619	8.63675	8.31592	8.85285	9.02525	9.28152	8.75386	8.65892	9.40815	9.03	9.10616	9.1281	8.88449
SNX18	5.80653	6.02834	6.01969	6.70555	6.52138	6.46394	6.18896	6.05304	6.83904	6.23212	6.3303	6.3138	6.10198
SNX19	7.99526	8.47567	8.35191	8.48208	8.06121	8.5	7.75347	7.9484	8.11667	8.20898	8.17951	8.21956	8.02593
SNX2	10.6845	11.404	10.9189	10.1091	9.52987	9.48186	9.65972	10.2032	8.36172	10.1198	9.84417	9.95942	11.0871
SNX20	6.11265	4.98562	5.67828	4.80858	6.14009	5.05914	5.13073	5.93965	6.30647	4.7692	5.7545	5.08191	5.0605
SNX21	5.40751	5.98279	5.59727	6.31153	5.25676	6.06565	6.06793	4.80691	5.64424	5.94894	5.8097	6.02082	5.67313
SNX22	6.6479	6.53524	7.37849	7.53996	7.92245	7.76353	7.84422	7.27714	7.79391	7.84521	8.13086	7.85437	6.59343
SNX24	6.12202	6.71008	6.98722	6.34007	5.2922	6.36589	5.80912	6.2038	5.48786	6.1046	5.74186	6.391	6.22561
SNX25	6.79729	7.67136	6.92857	8.24986	7.69173	7.8969	7.15386	7.76361	7.66376	7.56184	7.26571	7.8971	7.5813
SNX27	8.28133	8.00184	8.08276	8.18677	8.11547	8.06783	7.57972	8.25476	7.59648	7.22409	8.12	7.82961	7.88094
SNX29	7.069685	7.186965	6.809025	7.515585	7.48349	7.10196	6.586565	7.60843	7.735835	6.76242	7.49598	7.42964	7.13512
SNX29P1|SNX29|SNX29P2	7.34892	6.66585	7.34005	6.89809	9.028605	6.63905	7.12052	7.90141	8.77932	6.88557	8.08125	7.73178	6.556985
SNX29P2	4.64673	5.14223	4.58715	5.79643	6.30828	5.89059	6.04047	6.02125	6.4694	5.9153	5.93101	5.44315	5.50084
SNX3	7.98691	7.82436	7.87196	7.98775	8.26793	8.24132	8.1921	7.61451	8.09736	8.3832	8.1911	8.38205	8.23602
SNX30	7.24709	6.39805	6.498	6.57952	7.91068	6.87374	6.76209	7.22686	7.64885	6.1598	7.53309	6.92191	6.5957
SNX31	3.78108	3.28743	3.74686	3.62155	3.69567	3.14243	3.58192	3.85212	3.24376	3.52579	3.51571	3.30958	3.75013
SNX32	4.00018	3.91442	3.74895	3.53939	3.74848	3.77615	3.84259	3.8405	3.5028	3.65097	3.50138	3.57977	3.74702
SNX33	7.45558	7.7767	6.86393	7.56048	7.28254	7.31176	7.40276	7.24464	7.58943	7.19743	7.62994	7.54501	7.05064
SNX4	7.42392	7.9823	7.01733	7.63749	6.98042	7.46818	6.99447	6.99911	6.73257	7.31136	7.29865	7.35786	7.4657
SNX5	8.02107	8.50045	8.00548	8.35699	8.18239	7.95181	8.25486	7.66981	8.13601	8.47216	8.17262	8.42552	8.54561
SNX6	9.31886	8.65966	8.70134	7.89413	8.55745	8.48662	8.2428	8.71588	8.49916	8.37555	8.74049	8.34276	8.45486
SNX7	5.21178	4.87513	4.67145	4.89119	4.2741	5.06131	4.81532	4.96547	4.13516	4.84684	4.65603	5.33151	5.24793
SNX8	6.92965	7.14963	7.15201	7.3896	7.70409	7.33369	7.26471	7.33554	7.85283	7.28058	7.53056	7.40767	7.54734
SNX9	8.58271	8.65602	8.5916	8.96081	9.07747	9.15263	8.67133	9.35412	9.00622	8.66341	9.32699	9.02293	8.87225
SOAT1	8.30921	7.7026	7.73175	7.07694	8.09159	7.59278	7.14389	7.96675	7.61277	6.89636	8.28989	7.4553	7.12141
SOAT2	4.77957	4.79519	4.69176	4.83032	4.80074	5.17602	4.57285	4.7917	5.15313	4.69383	4.56701	4.47786	4.64856
